t,dem_heat
0,1.6407852823669152e-19
1,1.6407852823669152e-19
2,1.6407852823669152e-19
3,1.6407852823669152e-19
4,1.6154775402224384e-19
5,1.6154775402224384e-19
6,1.6154775402224384e-19
7,1.6154775402224384e-19
8,1.5732979699816437e-19
9,1.5732979699816437e-19
10,1.5732979699816437e-19
11,1.5732979699816437e-19
12,1.6239134542705972e-19
13,1.6239134542705972e-19
14,1.6239134542705972e-19
15,1.6239134542705972e-19
16,1.5887638124032685e-19
17,1.5887638124032685e-19
18,1.5887638124032685e-19
19,1.5887638124032685e-19
20,1.7476401936435953e-19
21,1.7476401936435953e-19
22,1.7476401936435953e-19
23,1.7476401936435953e-19
24,2.218645394665803e-19
25,2.218645394665803e-19
26,2.218645394665803e-19
27,2.218645394665803e-19
28,2.512496400676673e-19
29,2.512496400676673e-19
30,2.512496400676673e-19
31,2.512496400676673e-19
32,2.317064391894324e-19
33,2.317064391894324e-19
34,2.317064391894324e-19
35,2.317064391894324e-19
36,2.2355172227621213e-19
37,2.2355172227621213e-19
38,2.2355172227621213e-19
39,2.2355172227621213e-19
40,1.9191704459561605e-19
41,1.9191704459561605e-19
42,1.9191704459561605e-19
43,1.9191704459561605e-19
44,1.8812088327394454e-19
45,1.8812088327394454e-19
46,1.8812088327394454e-19
47,1.8812088327394454e-19
48,1.850277147896196e-19
49,1.850277147896196e-19
50,1.850277147896196e-19
51,1.850277147896196e-19
52,1.8348113054745713e-19
53,1.8348113054745713e-19
54,1.8348113054745713e-19
55,1.8348113054745713e-19
56,1.8404352481733438e-19
57,1.8404352481733438e-19
58,1.8404352481733438e-19
59,1.8404352481733438e-19
60,1.7870077925350036e-19
61,1.7870077925350036e-19
62,1.7870077925350036e-19
63,1.7870077925350036e-19
64,1.699836680704028e-19
65,1.699836680704028e-19
66,1.699836680704028e-19
67,1.699836680704028e-19
68,1.7940377209084699e-19
69,1.7940377209084699e-19
70,1.7940377209084699e-19
71,1.7940377209084699e-19
72,1.5732979699816437e-19
73,1.5732979699816437e-19
74,1.5732979699816437e-19
75,1.5732979699816437e-19
76,1.5240884713673834e-19
77,1.5240884713673834e-19
78,1.5240884713673834e-19
79,1.5240884713673834e-19
80,1.5001867148976e-19
81,1.5001867148976e-19
82,1.5001867148976e-19
83,1.5001867148976e-19
84,1.6618750674873128e-19
85,1.6618750674873128e-19
86,1.6618750674873128e-19
87,1.6618750674873128e-19
88,1.6140715545477456e-19
89,1.6140715545477456e-19
90,1.6140715545477456e-19
91,1.6140715545477456e-19
92,1.6070416261742793e-19
93,1.6070416261742793e-19
94,1.6070416261742793e-19
95,1.6070416261742793e-19
96,1.567674027282871e-19
97,1.567674027282871e-19
98,1.567674027282871e-19
99,1.567674027282871e-19
100,1.2921008350430122e-19
101,1.2921008350430122e-19
102,1.2921008350430122e-19
103,1.2921008350430122e-19
104,1.064331155742721e-19
105,1.064331155742721e-19
106,1.064331155742721e-19
107,1.064331155742721e-19
108,1.0615191843933344e-19
109,1.0615191843933344e-19
110,1.0615191843933344e-19
111,1.0615191843933344e-19
112,1.04183538494763e-19
113,1.04183538494763e-19
114,1.04183538494763e-19
115,1.04183538494763e-19
116,1.1107286830075949e-19
117,1.1107286830075949e-19
118,1.1107286830075949e-19
119,1.1107286830075949e-19
120,1.410203631717237e-19
121,1.410203631717237e-19
122,1.410203631717237e-19
123,1.410203631717237e-19
124,2.0710168988230216e-19
125,2.0710168988230216e-19
126,2.0710168988230216e-19
127,2.0710168988230216e-19
128,1.992281701040205e-19
129,1.992281701040205e-19
130,1.992281701040205e-19
131,1.992281701040205e-19
132,2.1441281539070659e-19
133,2.1441281539070659e-19
134,2.1441281539070659e-19
135,2.1441281539070659e-19
136,2.152564067955225e-19
137,2.152564067955225e-19
138,2.152564067955225e-19
139,2.152564067955225e-19
140,2.014777471835295e-19
141,2.014777471835295e-19
142,2.014777471835295e-19
143,2.014777471835295e-19
144,1.8896447467876038e-19
145,1.8896447467876038e-19
146,1.8896447467876038e-19
147,1.8896447467876038e-19
148,1.9796278299679662e-19
149,1.9796278299679662e-19
150,1.9796278299679662e-19
151,1.9796278299679662e-19
152,1.9458841737753306e-19
153,1.9458841737753306e-19
154,1.9458841737753306e-19
155,1.9458841737753306e-19
156,1.7926317352337768e-19
157,1.7926317352337768e-19
158,1.7926317352337768e-19
159,1.7926317352337768e-19
160,1.8643370046431273e-19
161,1.8643370046431273e-19
162,1.8643370046431273e-19
163,1.8643370046431273e-19
164,2.0457091566785446e-19
165,2.0457091566785446e-19
166,2.0457091566785446e-19
167,2.0457091566785446e-19
168,2.1385042112082936e-19
169,2.1385042112082936e-19
170,2.1385042112082936e-19
171,2.1385042112082936e-19
172,2.0850767555699535e-19
173,2.0850767555699535e-19
174,2.0850767555699535e-19
175,2.0850767555699535e-19
176,2.11038449771443e-19
177,2.11038449771443e-19
178,2.11038449771443e-19
179,2.11038449771443e-19
180,2.059769013425476e-19
181,2.059769013425476e-19
182,2.059769013425476e-19
183,2.059769013425476e-19
184,2.0794528128711803e-19
185,2.0794528128711803e-19
186,2.0794528128711803e-19
187,2.0794528128711803e-19
188,2.1441281539070659e-19
189,2.1441281539070659e-19
190,2.1441281539070659e-19
191,2.1441281539070659e-19
192,2.0794528128711803e-19
