t,power_price
0,2.1131964690638162e-16
1,2.1131964690638162e-16
2,2.1131964690638162e-16
3,2.1131964690638162e-16
4,1.5283064283914624e-16
5,1.5283064283914624e-16
6,1.5283064283914624e-16
7,1.5283064283914624e-16
8,1.770135964438686e-16
9,1.770135964438686e-16
10,1.770135964438686e-16
11,1.770135964438686e-16
12,1.652033167764461e-16
13,1.652033167764461e-16
14,1.652033167764461e-16
15,1.652033167764461e-16
16,1.796849692257856e-16
17,1.796849692257856e-16
18,1.796849692257856e-16
19,1.796849692257856e-16
20,3.2646987366375125e-16
21,3.2646987366375125e-16
22,3.2646987366375125e-16
23,3.2646987366375125e-16
24,6.741701310153691e-16
25,6.741701310153691e-16
26,6.741701310153691e-16
27,6.741701310153691e-16
28,8.717111183097579e-16
29,8.717111183097579e-16
30,8.717111183097579e-16
31,8.717111183097579e-16
32,8.859115736241586e-16
33,8.859115736241586e-16
34,8.859115736241586e-16
35,8.859115736241586e-16
36,8.464033761652812e-16
37,8.464033761652812e-16
38,8.464033761652812e-16
39,8.464033761652812e-16
40,8.847867850844044e-16
41,8.847867850844044e-16
42,8.847867850844044e-16
43,8.847867850844044e-16
44,8.710081254724116e-16
45,8.710081254724116e-16
46,8.710081254724116e-16
47,8.710081254724116e-16
48,9.13609491415614e-16
49,9.13609491415614e-16
50,9.13609491415614e-16
51,9.13609491415614e-16
52,8.187054583738256e-16
53,8.187054583738256e-16
54,8.187054583738256e-16
55,8.187054583738256e-16
56,7.569826872547965e-16
57,7.569826872547965e-16
58,7.569826872547965e-16
59,7.569826872547965e-16
60,7.298471637332183e-16
61,7.298471637332183e-16
62,7.298471637332183e-16
63,7.298471637332183e-16
64,7.505151531512079e-16
65,7.505151531512079e-16
66,7.505151531512079e-16
67,7.505151531512079e-16
68,7.29284769463341e-16
69,7.29284769463341e-16
70,7.29284769463341e-16
71,7.29284769463341e-16
72,6.664372098045567e-16
73,6.664372098045567e-16
74,6.664372098045567e-16
75,6.664372098045567e-16
76,5.578951157182451e-16
77,5.578951157182451e-16
78,5.578951157182451e-16
79,5.578951157182451e-16
80,5.722361696001154e-16
81,5.722361696001154e-16
82,5.722361696001154e-16
83,5.722361696001154e-16
84,4.840808677968544e-16
85,4.840808677968544e-16
86,4.840808677968544e-16
87,4.840808677968544e-16
88,4.49212423064464e-16
89,4.49212423064464e-16
90,4.49212423064464e-16
91,4.49212423064464e-16
92,3.8453708202857876e-16
93,3.8453708202857876e-16
94,3.8453708202857876e-16
95,3.8453708202857876e-16
96,3.4474768743476234e-16
97,3.4474768743476234e-16
98,3.4474768743476234e-16
99,3.4474768743476234e-16
100,3.1226941834935046e-16
101,3.1226941834935046e-16
102,3.1226941834935046e-16
103,3.1226941834935046e-16
104,2.049927113702624e-16
105,2.049927113702624e-16
106,2.049927113702624e-16
107,2.049927113702624e-16
108,1.730768365547277e-16
109,1.730768365547277e-16
110,1.730768365547277e-16
111,1.730768365547277e-16
112,1.9964996580642845e-16
113,1.9964996580642845e-16
114,1.9964996580642845e-16
115,1.9964996580642845e-16
116,3.675246553647914e-16
117,3.675246553647914e-16
118,3.675246553647914e-16
119,3.675246553647914e-16
120,4.343089749127165e-16
121,4.343089749127165e-16
122,4.343089749127165e-16
123,4.343089749127165e-16
124,4.544145700608287e-16
125,4.544145700608287e-16
126,4.544145700608287e-16
127,4.544145700608287e-16
128,4.947663589245223e-16
129,4.947663589245223e-16
130,4.947663589245223e-16
131,4.947663589245223e-16
132,4.878770291185257e-16
133,4.878770291185257e-16
134,4.878770291185257e-16
135,4.878770291185257e-16
136,4.885800219558723e-16
137,4.885800219558723e-16
138,4.885800219558723e-16
139,4.885800219558723e-16
140,5.026398787028039e-16
141,5.026398787028039e-16
142,5.026398787028039e-16
143,5.026398787028039e-16
144,5.19089911096714e-16
145,5.19089911096714e-16
146,5.19089911096714e-16
147,5.19089911096714e-16
148,5.609882842025701e-16
149,5.609882842025701e-16
150,5.609882842025701e-16
151,5.609882842025701e-16
152,6.068234171975669e-16
153,6.068234171975669e-16
154,6.068234171975669e-16
155,6.068234171975669e-16
156,6.326935536119211e-16
157,6.326935536119211e-16
158,6.326935536119211e-16
159,6.326935536119211e-16
160,6.480187974660766e-16
161,6.480187974660766e-16
162,6.480187974660766e-16
163,6.480187974660766e-16
164,7.163497012561639e-16
165,7.163497012561639e-16
166,7.163497012561639e-16
167,7.163497012561639e-16
168,6.6011027426843785e-16
169,6.6011027426843785e-16
170,6.6011027426843785e-16
171,6.6011027426843785e-16
172,6.478781988986072e-16
173,6.478781988986072e-16
174,6.478781988986072e-16
175,6.478781988986072e-16
176,6.481593960335458e-16
177,6.481593960335458e-16
178,6.481593960335458e-16
179,6.481593960335458e-16
180,5.757511337868482e-16
181,5.757511337868482e-16
182,5.757511337868482e-16
183,5.757511337868482e-16
184,5.165591368822663e-16
185,5.165591368822663e-16
186,5.165591368822663e-16
187,5.165591368822663e-16
188,3.9311359464420695e-16
189,3.9311359464420695e-16
190,3.9311359464420695e-16
191,3.9311359464420695e-16
192,3.170497696433071e-16
